date,open,high,low,close,volume
2024-10-21,188.05,189.46,186.4,189.07,24639390
2024-10-22,188.35,191.5201,186.975,189.7,29650590
2024-10-23,188.85,189.16,183.69,184.71,31937090
2024-10-24,185.25,187.11,183.86,186.38,21647400
2024-10-25,187.85,190.45,187.53,187.83,29362060
2024-10-28,189.565,190.21,188.21,188.39,27930840
2024-10-29,188.58,191.4599,187.815,190.83,35690160
2024-10-30,194.695,195.61,192.42,192.73,37707550
2024-10-31,190.51,190.6,185.23,186.4,75146760
2024-11-01,199.0,200.5,197.02,197.93,99687850
2024-11-04,196.45,197.33,194.3101,195.78,38492060
2024-11-05,196.04,199.82,195.99,199.5,30564780
2024-11-06,200.01,207.55,199.14,207.09,72292170
2024-11-07,207.44,212.25,207.19,210.05,52878380
2024-11-08,209.72,209.9633,207.44,208.18,36075850
2024-11-11,208.5,209.65,205.59,206.84,35456010
2024-11-12,208.37,209.54,206.01,208.91,38942920
2024-11-13,209.4,215.09,209.14,214.1,46212940
2024-11-14,214.16,215.9,210.88,211.48,42620310
2024-11-15,206.76,207.34,199.61,202.61,86591140
2024-11-18,204.15,204.67,200.95,201.7,36512470
2024-11-19,199.33,205.3,198.78,204.61,31197870
2024-11-20,202.98,203.13,199.45,202.88,32768990
2024-11-21,203.49,203.49,195.75,198.38,58800040
2024-11-22,198.25,199.2599,196.75,197.12,31530840
2024-11-25,199.28,201.9499,199.0,201.45,40685670
2024-11-26,201.9,208.0,201.79,207.86,41673740
2024-11-27,206.98,207.64,205.05,205.74,28061640
2024-11-29,205.83,208.2,204.59,207.89,24892450
2024-12-02,209.96,212.99,209.5101,210.71,39523190
2024-12-03,210.31,214.02,209.65,213.44,32214830
2024-12-04,215.96,220.0,215.75,218.16,48745720
2024-12-05,218.03,222.15,217.3,220.55,41140220
2024-12-06,220.75,227.15,220.6,227.03,44178070
2024-12-09,227.21,230.08,225.67,226.09,46819360
2024-12-10,226.09,229.06,224.2002,225.04,31199860
2024-12-11,226.41,231.2,226.26,230.26,35385790
2024-12-12,229.83,231.09,227.63,228.97,28204080
2024-12-13,228.4,230.2,225.8608,227.46,28768080
2024-12-16,230.23,233.0,228.01,232.93,37552100
2024-12-17,232.39,232.73,227.85,231.15,35948130
2024-12-18,230.77,231.3999,220.11,220.52,43281440
2024-12-19,224.91,226.09,222.92,223.29,39918740
2024-12-20,219.84,226.21,218.73,224.92,88279180
2024-12-23,225.01,226.88,223.9,225.06,28070010
2024-12-24,226.94,229.14,226.13,229.05,15007500
2024-12-26,228.5,228.5,226.6706,227.05,16174500
2024-12-27,225.6,226.03,220.9,223.75,27367150
2024-12-30,220.06,222.9972,218.43,221.3,28321240
2024-12-31,222.965,223.2299,218.94,219.39,24819660
2025-01-02,222.03,225.15,218.19,220.22,33956580
2025-01-03,222.505,225.36,221.62,224.19,27515610
2025-01-06,226.78,228.835,224.84,227.61,31849830
2025-01-07,227.9,228.381,221.46,222.11,28084160
2025-01-08,223.185,223.52,220.2,222.13,25033290
2025-01-10,221.46,221.71,216.5,218.94,36811530
2025-01-13,218.06,219.4,216.47,218.46,27262660
2025-01-14,220.44,221.82,216.2,217.76,24711650
2025-01-15,222.83,223.57,220.75,223.35,31291260
2025-01-16,224.42,224.65,220.31,220.66,24757280
2025-01-17,225.84,226.51,223.08,225.94,42370120
2025-01-21,228.9,231.78,226.94,230.71,39951460
2025-01-22,232.02,235.44,231.19,235.01,41448220
2025-01-23,234.1,235.52,231.51,235.42,26404360
2025-01-24,234.5,236.4,232.93,234.85,25890740
2025-01-27,226.21,235.61,225.86,235.42,49428330
2025-01-28,234.29,241.77,233.98,238.15,41587190
2025-01-29,239.015,240.39,236.15,237.07,26091720
2025-01-30,237.14,237.95,232.22,234.64,32020730
2025-01-31,236.5,240.29,236.41,237.68,36162380
2025-02-03,234.06,239.25,232.9,237.42,37285870
2025-02-04,239.01,242.52,238.03,242.06,29713810
2025-02-05,237.02,238.32,235.2,236.17,38832040
2025-02-06,238.01,239.6599,236.01,238.83,60897100
2025-02-07,232.5,234.81,228.06,229.15,77539280
2025-02-10,230.545,233.92,229.2,233.14,35419930
2025-02-11,231.92,233.44,230.13,232.76,23713730
2025-02-12,230.46,231.18,228.16,228.93,32285250
2025-02-13,228.85,230.42,227.52,230.37,31346510
2025-02-14,229.2,229.89,227.23,228.68,27031080
2025-02-18,228.82,229.3,223.72,226.65,42975130
2025-02-19,225.52,226.83,223.71,226.63,28566710
2025-02-20,224.775,225.13,221.81,222.88,30001670
2025-02-21,223.28,223.31,214.74,216.58,55323850
2025-02-24,217.45,217.715,212.42,212.71,42387590
2025-02-25,211.63,213.34,204.16,212.8,58957980
2025-02-26,214.94,218.16,213.09,214.35,39120600
2025-02-27,218.35,219.97,208.37,208.74,40548570
2025-02-28,208.65,212.62,206.99,212.28,51771740
2025-03-03,213.352,214.01,202.55,205.02,42948450
2025-03-04,200.11,206.8,197.432,203.8,60853080
2025-03-05,204.8,209.98,203.26,208.36,38610090
2025-03-06,204.4,205.77,198.3015,200.7,49863760
2025-03-07,199.49,202.2653,192.53,199.25,59802820
2025-03-10,195.6,196.73,190.85,194.54,62350930
2025-03-11,193.9,200.18,193.4,196.59,54002880
2025-03-12,200.72,201.52,195.29,198.89,43679280
2025-03-13,198.165,198.8799,191.82,193.89,41270760
2025-03-14,197.41,198.65,195.32,197.95,38096660
2025-03-17,198.77,199.0,194.3247,195.74,47341750
2025-03-18,192.52,194.0,189.38,192.82,40414870
2025-03-19,193.38,195.965,191.96,195.54,39442880
2025-03-20,193.07,199.32,192.3,194.95,38921110
2025-03-21,192.9,196.99,192.52,196.21,60056920
2025-03-24,200.0,203.64,199.95,203.26,41625370
2025-03-25,203.595,206.21,203.22,205.71,31171160
2025-03-26,205.835,206.01,199.925,201.13,32990970
2025-03-27,200.89,203.79,199.2821,201.36,27317660
2025-03-28,198.42,199.26,191.881,192.72,52548230
2025-03-31,188.19,191.33,184.4,190.26,63547560
2025-04-01,187.86,193.93,187.2,192.17,41267320
2025-04-02,187.66,198.34,187.66,196.01,53679200
2025-04-03,182.995,184.13,176.92,178.41,95553620
2025-04-04,167.145,178.1436,166.0,171.0,123159400
2025-04-07,162.0,183.4099,161.38,175.26,109327100
2025-04-08,185.23,185.9,168.57,170.66,87710360
2025-04-09,172.115,192.65,169.93,191.1,116804300
2025-04-10,185.44,186.8692,175.8518,181.22,68302050
2025-04-11,179.93,185.86,178.0,184.87,50594340
2025-04-14,186.84,187.44,179.23,182.12,48002540
2025-04-15,181.41,182.35,177.9331,179.59,43641950
2025-04-16,176.29,179.1046,171.41,174.33,51875320
2025-04-17,176.0,176.21,172.0,172.61,44726450
2025-04-21,169.6,169.6,165.285,167.32,48126110
2025-04-22,169.845,176.78,169.35,173.18,56607200
2025-04-23,183.45,187.38,180.19,180.6,63470150
2025-04-24,180.915,186.74,180.18,186.54,43763200
2025-04-25,187.62,189.94,185.49,188.99,36414330
2025-04-28,190.105,190.22,184.885,187.7,33224730
2025-04-29,183.99,188.0158,183.68,187.39,41667260
2025-04-30,182.17,185.05,178.85,184.42,55176540
2025-05-01,190.63,191.8071,187.5,190.2,74265960
2025-05-02,191.435,192.88,186.4,189.98,77903490
2025-05-05,186.51,188.18,185.53,186.35,35217470
2025-05-06,184.57,187.93,183.85,185.01,29314060
2025-05-07,185.56,190.99,185.01,188.71,44002930
2025-05-08,191.43,194.33,188.82,192.08,41043620
2025-05-09,193.375,194.69,191.16,193.06,29663140
2025-05-12,210.71,211.66,205.75,208.64,75205040
2025-05-13,211.08,214.84,210.1,211.37,56193680
2025-05-14,211.45,211.93,208.85,210.25,38492130
2025-05-15,206.45,206.88,202.673,205.17,64347320
2025-05-16,206.85,206.85,204.374,205.59,43318480
2025-05-19,201.645,206.62,201.26,206.16,34314810
2025-05-20,204.628,205.5899,202.65,204.07,29470370
