date,open,high,low,close,volume
2024-10-21,179.38,181.7199,178.25,179.99,13695150
2024-10-22,178.66,180.69,177.41,179.38,12062650
2024-10-23,177.585,178.98,172.57,173.51,19513710
2024-10-24,174.26,174.3,169.5,171.35,20485170
2024-10-25,174.19,176.796,172.72,173.0,19977680
2024-10-28,173.0,173.9728,171.345,172.02,13195830
2024-10-29,172.435,180.23,171.2101,179.24,23702340
2024-10-30,177.47,179.19,175.62,176.64,17911490
2024-10-31,174.45,174.45,167.38,169.77,26086590
2024-11-01,168.26,171.3255,167.5,168.92,17847040
2024-11-04,169.28,172.45,168.42,168.55,13621310
2024-11-05,170.05,174.4,170.05,173.9,13441750
2024-11-06,179.63,180.21,175.96,179.55,24300760
2024-11-07,181.9853,184.8722,181.79,183.81,18970580
2024-11-08,182.99,185.05,181.83,183.64,13503150
2024-11-11,183.4,183.63,176.8201,178.91,17036660
2024-11-12,178.9,179.56,173.2,176.22,15861980
2024-11-13,174.705,175.5926,172.6,173.58,17472510
2024-11-14,174.77,175.57,169.87,170.38,20638860
2024-11-15,168.47,169.135,163.43,164.84,20836160
2024-11-18,165.66,166.3463,162.22,165.67,17870330
2024-11-19,166.66,166.8,164.31,165.35,18003400
2024-11-20,165.54,165.54,160.86,163.25,17196730
2024-11-21,166.25,166.34,160.6,163.94,24835250
2024-11-22,164.3,164.9092,162.4,164.23,17332470
2024-11-25,165.395,167.225,162.89,164.82,26850590
2024-11-26,164.6,166.37,162.69,164.74,16308770
2024-11-27,163.2,163.2,157.54,159.67,19722720
2024-11-29,159.57,162.69,159.08,162.08,11024010
2024-12-02,162.95,168.3797,162.75,166.51,21472440
2024-12-03,164.48,168.27,164.03,168.15,17024430
2024-12-04,173.44,175.39,168.56,170.56,32748250
2024-12-05,170.75,172.3981,169.2,170.47,18489990
2024-12-06,170.1,180.68,169.3301,179.53,27830830
2024-12-09,178.95,180.7933,176.0209,178.94,20886310
2024-12-10,177.81,178.5,169.73,171.81,27762630
2024-12-11,180.01,184.87,176.4296,183.2,41295180
2024-12-12,180.93,182.0,175.99,180.66,46967170
2024-12-13,213.9,228.7,211.11,224.8,121336600
2024-12-16,231.79,251.88,230.81,250.0,111623200
2024-12-17,240.65,242.47,233.8,240.23,70382130
2024-12-18,239.41,239.85,219.22,223.62,53960100
2024-12-19,227.91,228.05,217.58,218.32,40845170
2024-12-20,220.36,230.29,218.91,220.79,131910400
2024-12-23,226.69,233.3994,225.13,232.35,40643780
2024-12-24,240.115,240.228,234.8,239.68,22827190
2024-12-26,240.0,247.28,237.6,245.36,28537540
2024-12-27,245.64,245.78,236.3532,241.75,29282230
2024-12-30,234.695,238.77,231.62,235.58,27316800
2024-12-31,235.88,237.46,231.31,231.84,17927720
2025-01-02,236.155,239.5,230.2425,231.98,31525830
2025-01-03,233.59,236.4893,229.0,232.55,24973190
2025-01-06,236.5,241.75,233.3,236.41,34028380
2025-01-07,239.5,239.5,227.6,228.64,25928610
2025-01-08,229.7,232.47,226.06,229.31,18756490
2025-01-10,227.3,227.83,221.25,224.31,23864010
2025-01-13,219.99,229.26,219.51,225.29,23772090
2025-01-14,226.57,230.26,223.1,224.7,18143120
2025-01-15,228.55,230.34,225.58,228.0,21745620
2025-01-16,235.22,238.6,229.21,229.41,23471870
2025-01-17,237.08,238.1,232.66,237.44,31196640
2025-01-21,241.5,242.75,237.4,240.31,30903190
2025-01-22,246.75,246.99,240.69,240.91,29610500
2025-01-23,238.41,240.4,236.12,240.28,17653940
2025-01-24,244.7,249.59,241.91,244.7,25387830
2025-01-27,213.4,218.43,196.23,202.13,90569380
2025-01-28,208.01,209.95,198.89,207.36,50315990
2025-01-29,208.84,211.45,202.77,206.35,32533740
2025-01-30,218.57,221.96,213.7,215.66,42449480
2025-01-31,219.66,226.8,216.3,221.27,41150980
2025-02-03,215.46,220.9377,213.51,217.73,24507270
2025-02-04,219.35,223.03,215.3,222.43,23768520
2025-02-05,233.94,237.9299,227.5,232.0,29250580
2025-02-06,234.5,234.8,228.56,231.36,21169530
2025-02-07,235.0,235.65,224.11,224.87,22117470
2025-02-10,227.43,235.82,227.12,235.04,23901640
2025-02-11,232.48,237.89,229.9739,235.04,18476200
2025-02-12,230.355,236.48,230.0,236.35,16397340
2025-02-13,236.06,236.95,230.7276,235.8,20962030
2025-02-14,234.53,235.74,228.9,233.04,16988780
2025-02-18,230.1,232.2,224.3001,228.53,26080550
