Date,Close/Last,Volume,Open,High,Low
10/17/2025,$349.33,20937940,$349.61,$350.97,$340.78
10/16/2025,$354.15,20317220,$356.80,$363.24,$349.485
10/15/2025,$351.33,23918540,$354.47,$359.40,$347.50
10/14/2025,$344.13,22078000,$350.125,$350.67,$339.6532
10/13/2025,$356.70,45984260,$352.77,$359.38,$343.5201
10/10/2025,$324.63,28941010,$345.39,$350.60,$324.05
10/09/2025,$345.02,17643740,$345.75,$347.31,$340.40
10/08/2025,$345.50,21478340,$333.82,$346.54,$332.62
10/07/2025,$336.41,18086710,$337.025,$338.11,$326.58
10/06/2025,$335.49,18465730,$335.92,$344.13,$334.56
10/03/2025,$338.37,14749070,$341.50,$344.40,$335.74
10/02/2025,$338.18,19917620,$347.61,$347.61,$335.25
10/01/2025,$333.39,21122690,$328.145,$337.95,$324.50
09/30/2025,$329.91,20109460,$330.12,$331.05,$324.61
09/29/2025,$327.90,21336000,$336.00,$341.05,$327.55
09/26/2025,$334.53,15464700,$337.43,$339.08,$330.5801
09/25/2025,$336.10,21678190,$332.99,$338.062,$327.30
09/24/2025,$339.31,19677300,$339.755,$340.0799,$333.81
09/23/2025,$338.94,21944080,$340.24,$345.215,$337.0216
09/22/2025,$338.79,28660030,$342.425,$346.67,$337.94
09/19/2025,$344.94,41240070,$344.65,$346.27,$336.43
09/18/2025,$345.35,24663890,$350.00,$350.70,$343.79
09/17/2025,$346.17,45197130,$358.85,$359.93,$341.50
09/16/2025,$360.00,21306510,$365.425,$365.69,$356.99
09/15/2025,$364.09,21792190,$359.87,$365.50,$356.34
09/12/2025,$359.87,31949800,$362.91,$364.385,$357.16
09/11/2025,$359.63,29430950,$371.18,$374.23,$358.7604
09/10/2025,$369.57,51086830,$351.52,$372.97,$350.55
09/09/2025,$336.67,26972320,$349.545,$350.98,$335.83
09/08/2025,$345.65,43535640,$342.75,$354.1656,$341.2501
09/05/2025,$334.89,78401550,$355.78,$356.34,$331.42
