Date,Close/Last,Volume,Open,High,Low
10/17/2025,$492.42,3794296,$490.00,$493.45,$489.25
10/16/2025,$488.81,4254327,$495.595,$495.9999,$485.80
10/15/2025,$496.39,3566239,$493.90,$496.7292,$490.35
10/14/2025,$495.97,3056001,$490.00,$497.06,$489.9501
10/13/2025,$491.93,3183457,$488.15,$493.80,$487.82
10/10/2025,$489.13,4763823,$497.25,$497.99,$489.06
10/09/2025,$496.74,3172176,$499.98,$501.221,$494.51
10/08/2025,$499.84,2944558,$502.71,$503.50,$498.56
10/07/2025,$502.30,3057382,$500.16,$504.46,$498.61
10/06/2025,$500.02,3519473,$499.50,$504.97,$498.0201
10/03/2025,$498.75,4678832,$495.90,$502.5499,$495.0501
10/02/2025,$495.92,3461425,$496.96,$499.61,$493.22
10/01/2025,$498.20,4481081,$502.50,$502.8661,$495.90
09/30/2025,$502.74,3873477,$497.64,$503.78,$497.00
09/29/2025,$499.25,5161913,$500.00,$500.25,$495.02
09/26/2025,$500.03,3707648,$496.94,$502.10,$496.65
09/25/2025,$494.96,4056103,$496.15,$499.00,$494.73
09/24/2025,$497.09,2811544,$493.30,$497.16,$493.11
09/23/2025,$494.10,3933240,$493.765,$499.28,$493.5223
09/22/2025,$493.71,3582875,$490.57,$494.71,$489.23
09/19/2025,$492.85,7356280,$491.87,$494.50,$488.88
09/18/2025,$490.50,4058878,$489.64,$494.88,$488.00
09/17/2025,$492.33,5060688,$490.935,$495.99,$490.3001
09/16/2025,$490.99,4069971,$491.27,$491.92,$487.20
09/15/2025,$491.54,3629775,$493.60,$495.27,$489.50
09/12/2025,$493.74,2951721,$495.745,$497.6256,$493.34
09/11/2025,$496.91,3669007,$489.33,$497.24,$489.03
09/10/2025,$490.08,5561592,$490.00,$491.70,$486.2701
09/09/2025,$492.72,3748686,$492.45,$496.85,$491.7201
09/08/2025,$493.78,5146322,$499.00,$499.65,$493.46
09/05/2025,$499.77,4222890,$506.00,$507.661,$497.75
09/04/2025,$506.91,2976722,$502.90,$507.38,$501.26
09/03/2025,$501.49,3206165,$499.55,$502.11,$496.59
09/02/2025,$501.14,4977844,$504.24,$505.90,$497.62
08/29/2025,$502.98,4663613,$500.85,$506.72,$500.85
08/28/2025,$499.86,4530429,$498.03,$500.14,$496.07
08/27/2025,$495.72,4385918,$491.08,$497.21,$490.60
08/26/2025,$492.21,8217481,$485.02,$492.79,$484.5267
08/25/2025,$486.18,3935117,$489.01,$489.02,$481.83
08/22/2025,$489.00,4205084,$491.50,$493.14,$486.57
08/21/2025,$488.59,3082174,$487.24,$489.049,$483.68
08/20/2025,$488.68,4779763,$487.00,$492.2178,$485.829
08/19/2025,$485.31,4726408,$479.77,$485.8999,$479.77
08/18/2025,$478.52,3911272,$477.97,$479.00,$474.66
08/15/2025,$477.20,5229761,$482.35,$482.48,$476.29
08/14/2025,$479.22,4187144,$478.345,$479.22,$474.42
08/13/2025,$477.31,4629437,$471.70,$479.60,$471.50
08/12/2025,$470.39,3771514,$465.53,$472.4726,$465.06
08/11/2025,$464.73,3712076,$466.46,$468.494,$463.504
08/08/2025,$465.40,3330571,$462.94,$465.83,$462.55
08/07/2025,$461.47,5755747,$469.20,$472.70,$461.37
08/06/2025,$468.91,4557081,$465.00,$469.55,$463.00
08/05/2025,$464.19,6780711,$460.60,$467.5762,$460.38
08/04/2025,$459.11,10874270,$468.05,$468.87,$455.185
08/01/2025,$472.84,5287484,$473.47,$475.96,$470.62
07/31/2025,$471.88,6315340,$472.61,$477.70,$471.88
07/30/2025,$476.00,3802960,$475.13,$479.41,$473.88
07/29/2025,$476.56,4193187,$482.57,$485.0001,$476.28
07/28/2025,$481.70,3626059,$484.35,$486.8963,$481.1001
07/25/2025,$484.07,4220504,$481.67,$484.93,$479.6601
07/24/2025,$480.60,5044836,$482.67,$486.17,$480.60
07/23/2025,$482.63,4385559,$480.25,$484.45,$479.20
07/22/2025,$478.13,4521531,$475.50,$483.14,$475.00
07/21/2025,$474.41,3791273,$473.035,$478.35,$472.00
07/18/2025,$473.80,4015838,$474.00,$478.6404,$473.50
07/17/2025,$473.40,4040026,$470.065,$474.1499,$467.65
07/16/2025,$471.31,3796913,$471.20,$472.9186,$468.88
07/15/2025,$470.13,4482349,$475.30,$475.72,$470.00
07/14/2025,$476.31,4294742,$474.32,$478.13,$473.46
07/11/2025,$475.86,4416578,$476.25,$476.85,$471.3971
07/10/2025,$478.27,4576635,$477.87,$478.5499,$475.50
07/09/2025,$478.91,3367397,$477.00,$479.4902,$475.83
07/08/2025,$477.47,4116180,$477.35,$480.00,$473.58
07/07/2025,$478.03,4674351,$484.42,$486.08,$476.80
07/03/2025,$485.00,3443318,$480.89,$486.549,$480.36
07/02/2025,$480.48,6707174,$489.43,$489.93,$478.62
07/01/2025,$489.61,4776026,$485.78,$491.09,$483.80
06/30/2025,$485.77,6384326,$485.90,$487.65,$483.44
06/27/2025,$485.68,6129341,$485.77,$489.68,$484.40
06/26/2025,$485.05,4212937,$486.54,$487.9764,$484.25
06/25/2025,$486.21,4260584,$494.50,$496.00,$486.14
06/24/2025,$493.48,5111694,$489.43,$497.7391,$488.89
06/23/2025,$487.77,4140985,$485.42,$488.50,$481.7201
06/20/2025,$484.85,7620370,$484.95,$486.68,$483.4301
06/18/2025,$485.14,4893571,$484.10,$486.70,$482.75
06/17/2025,$483.48,3956345,$489.11,$489.40,$483.25
06/16/2025,$490.23,3937627,$489.73,$491.85,$488.5404
06/13/2025,$487.54,4000981,$486.27,$491.0843,$485.85
06/12/2025,$490.34,3535161,$486.235,$490.44,$483.78
06/11/2025,$488.14,4595851,$491.05,$492.25,$486.67
06/10/2025,$491.13,3951496,$492.655,$492.90,$489.50
06/09/2025,$493.33,3987465,$493.70,$494.53,$488.88
06/06/2025,$493.53,3948280,$491.63,$496.0978,$491.63
06/05/2025,$488.74,5165718,$490.75,$491.00,$485.60
06/04/2025,$491.00,5297634,$496.94,$496.99,$490.88
06/03/2025,$497.83,5923064,$501.00,$502.7899,$493.51
06/02/2025,$502.81,4914008,$501.70,$503.23,$499.47
05/30/2025,$503.96,9153084,$505.185,$505.72,$500.185
05/29/2025,$506.18,3657310,$504.00,$506.55,$501.20
05/28/2025,$503.11,3613850,$508.39,$509.10,$502.83
05/27/2025,$509.16,4928325,$506.425,$509.75,$505.01
05/23/2025,$503.46,3166844,$501.005,$505.50,$500.25
05/22/2025,$503.57,3244774,$505.10,$507.40,$502.64
05/21/2025,$507.03,3815801,$507.41,$509.9999,$505.40
05/20/2025,$508.74,3736959,$511.11,$512.075,$506.5514
05/19/2025,$512.39,3441451,$513.615,$513.79,$510.10
05/16/2025,$514.31,4997321,$509.63,$514.33,$506.80
05/15/2025,$507.33,5040862,$502.375,$509.78,$501.62
05/14/2025,$503.40,6384053,$511.85,$511.85,$502.80
05/13/2025,$511.88,4504120,$515.64,$515.75,$511.80
05/12/2025,$514.30,6368046,$520.30,$520.30,$510.25
05/09/2025,$513.74,3621402,$514.25,$515.91,$510.2533
05/08/2025,$513.25,5018581,$520.98,$521.2591,$513.0401
05/07/2025,$518.22,5581423,$515.015,$520.25,$513.00
05/06/2025,$512.33,6088592,$509.57,$515.75,$507.99
05/05/2025,$512.15,16380220,$520.08,$521.18,$502.8001
05/02/2025,$539.80,4945569,$536.75,$542.07,$535.2581
05/01/2025,$530.23,4693069,$531.00,$533.265,$528.30
04/30/2025,$533.25,5251647,$531.51,$535.72,$524.0032
04/29/2025,$534.57,3177729,$531.00,$535.34,$528.29
04/28/2025,$530.94,4238653,$533.63,$536.82,$526.58
04/25/2025,$530.96,2742786,$531.75,$532.4399,$526.79
04/24/2025,$531.64,3173404,$526.81,$533.13,$523.16
04/23/2025,$526.81,4294462,$527.50,$532.27,$523.885
04/22/2025,$520.79,4768491,$514.23,$522.22,$511.65
04/21/2025,$506.92,4908377,$517.53,$518.67,$498.08
04/17/2025,$518.21,5322242,$518.895,$523.88,$514.5701
