Date,Close/Last,Volume,Open,High,Low
10/17/2025,$253.30,29671630,$250.76,$254.22,$247.81
10/16/2025,$251.46,27997160,$251.765,$256.96,$250.101
10/15/2025,$251.03,27007690,$247.245,$252.11,$245.99
10/14/2025,$245.45,22111570,$241.23,$247.12,$240.51
10/13/2025,$244.15,24995030,$240.21,$244.50,$239.71
10/10/2025,$236.57,33180320,$241.43,$244.09,$235.84
10/09/2025,$241.53,27892090,$244.47,$244.76,$239.15
10/08/2025,$244.62,21307100,$244.96,$246.005,$243.82
10/07/2025,$245.76,23181290,$248.27,$250.44,$245.52
10/06/2025,$250.43,28894650,$244.78,$251.32,$244.58
10/03/2025,$245.35,30249560,$244.49,$246.30,$241.655
10/02/2025,$245.69,25483300,$245.15,$246.81,$242.30
10/01/2025,$244.90,31658230,$240.75,$246.30,$238.61
09/30/2025,$243.10,34724350,$242.81,$243.29,$239.245
09/29/2025,$244.05,32505780,$247.85,$251.1486,$242.77
09/26/2025,$246.54,18503190,$247.065,$249.42,$245.97
09/25/2025,$245.79,31020380,$244.40,$246.49,$240.74
09/24/2025,$247.14,28201000,$251.66,$252.3501,$246.44
09/23/2025,$251.66,26628020,$253.04,$254.36,$250.48
09/22/2025,$252.53,32290540,$254.43,$255.78,$250.30
09/19/2025,$254.72,55571420,$253.25,$256.00,$251.81
09/18/2025,$252.03,31239470,$251.68,$253.99,$249.80
09/17/2025,$249.53,34107990,$251.22,$251.60,$246.28
09/16/2025,$251.16,34109720,$252.08,$253.04,$249.47
09/15/2025,$251.61,58383800,$244.66,$252.4099,$244.66
09/12/2025,$240.80,26771610,$240.37,$242.075,$238.00
09/11/2025,$240.37,30599330,$239.88,$242.25,$236.25
09/10/2025,$239.17,35141070,$238.90,$241.66,$237.85
09/09/2025,$239.63,38060960,$234.165,$240.47,$233.229
09/08/2025,$234.04,32474740,$235.47,$238.13,$233.67
09/05/2025,$235.00,46588930,$232.20,$235.76,$231.90
09/04/2025,$232.30,51684170,$229.65,$232.37,$226.11
09/03/2025,$230.66,103336100,$226.21,$231.31,$224.79
09/02/2025,$211.35,47523040,$208.44,$211.675,$206.195
08/29/2025,$212.91,39728360,$210.51,$214.645,$210.20
08/28/2025,$211.64,32339310,$207.25,$212.22,$206.90
08/27/2025,$207.48,23022850,$205.70,$208.91,$205.65
08/26/2025,$207.14,28464130,$207.51,$207.85,$205.70
08/25/2025,$208.49,29928880,$206.43,$210.52,$205.28
08/22/2025,$206.09,42827040,$202.73,$208.54,$201.30
08/21/2025,$199.75,19774630,$199.745,$202.48,$199.43
08/20/2025,$199.32,28955500,$200.73,$201.28,$196.595
08/19/2025,$201.57,24240230,$203.03,$203.44,$199.96
08/18/2025,$203.50,18526590,$204.20,$205.265,$202.49
08/15/2025,$203.90,34931420,$203.85,$206.44,$201.28
08/14/2025,$202.94,25230430,$201.50,$204.44,$201.225
08/13/2025,$201.96,28342920,$204.13,$204.53,$197.5101
08/12/2025,$203.34,30424450,$201.365,$204.50,$200.59
08/11/2025,$201.00,25832440,$200.935,$201.475,$199.07
08/08/2025,$201.42,39161830,$197.22,$202.61,$197.17
08/07/2025,$196.52,26321810,$197.06,$197.54,$194.33
08/06/2025,$196.09,21562910,$194.50,$196.63,$193.67
08/05/2025,$194.67,31602340,$194.71,$197.8599,$193.885
08/04/2025,$195.04,31547350,$190.29,$195.27,$190.12
08/01/2025,$189.13,34832180,$189.025,$190.83,$187.82
07/31/2025,$191.90,51329160,$195.71,$195.99,$191.09
07/30/2025,$196.53,32445410,$195.60,$197.5999,$194.685
07/29/2025,$195.75,41389150,$192.43,$195.92,$192.08
07/28/2025,$192.58,38139500,$193.65,$194.05,$190.84
07/25/2025,$193.18,39785860,$191.98,$194.33,$191.26
07/24/2025,$192.17,74881690,$197.03,$197.95,$191.00
07/23/2025,$190.23,58681950,$191.50,$192.53,$189.18
07/22/2025,$191.34,44660220,$191.495,$191.645,$187.46
07/21/2025,$190.10,45803130,$186.25,$190.285,$186.15
07/18/2025,$185.06,34014510,$185.40,$186.42,$183.71
07/17/2025,$183.58,31992570,$182.14,$184.06,$180.48
07/16/2025,$182.97,33104190,$183.235,$184.327,$182.03
07/15/2025,$182.00,33448250,$182.81,$184.22,$181.60
07/14/2025,$181.56,32536630,$181.01,$183.67,$179.68
07/11/2025,$180.19,34282920,$176.785,$181.43,$176.48
07/10/2025,$177.62,29252390,$175.63,$178.429,$174.38
07/09/2025,$176.62,43025590,$175.25,$179.44,$172.77
07/08/2025,$174.36,40442540,$177.85,$177.95,$172.81
07/07/2025,$176.79,34175650,$179.06,$179.297,$175.68
07/03/2025,$179.53,21689730,$178.50,$179.67,$177.05
07/02/2025,$178.64,29128950,$175.54,$178.86,$175.07
07/01/2025,$175.84,35904530,$175.735,$176.09,$173.53
06/30/2025,$176.23,63378860,$180.78,$181.23,$174.58
06/27/2025,$178.53,108140200,$173.54,$178.68,$171.73
06/26/2025,$173.54,31796690,$172.43,$173.69,$169.94
06/25/2025,$170.68,35478990,$167.63,$172.36,$167.55
06/24/2025,$166.77,40524310,$166.92,$168.22,$166.13
06/23/2025,$165.19,57670990,$166.27,$167.34,$162.00
06/20/2025,$166.64,75659920,$173.945,$174.34,$165.46
06/18/2025,$173.32,28707520,$176.01,$176.56,$173.20
06/17/2025,$175.95,24973040,$175.70,$177.3648,$174.58
06/16/2025,$176.77,27389210,$174.73,$176.94,$174.65
06/13/2025,$174.67,27663110,$172.44,$177.13,$172.385
06/12/2025,$175.70,20941870,$176.18,$176.72,$174.745
06/11/2025,$177.35,31646760,$179.77,$180.37,$176.75
06/10/2025,$178.60,61766120,$176.20,$181.105,$174.91
06/09/2025,$176.09,28935910,$174.54,$176.47,$174.37
06/06/2025,$173.68,35731830,$170.83,$174.50,$170.83
06/05/2025,$168.21,36444560,$170.34,$170.93,$167.59
06/04/2025,$168.05,26900840,$166.735,$168.215,$166.36
06/03/2025,$166.18,45084900,$167.49,$168.475,$165.28
06/02/2025,$169.03,38612270,$167.84,$169.87,$167.39
05/30/2025,$171.74,52639910,$171.35,$172.205,$167.44
05/29/2025,$171.86,29373800,$174.00,$174.4193,$170.63
05/28/2025,$172.36,34784000,$173.16,$175.265,$171.9107
05/27/2025,$172.90,37995670,$170.16,$173.17,$170.00
05/23/2025,$168.47,35211440,$169.055,$169.96,$167.89
05/22/2025,$170.87,74864420,$171.85,$176.77,$170.71
05/21/2025,$168.56,73415960,$163.69,$173.14,$163.56
05/20/2025,$163.98,46607660,$166.43,$168.50,$162.90
05/19/2025,$166.54,30426100,$164.51,$166.64,$164.22
05/16/2025,$166.19,42846930,$167.725,$169.35,$165.62
05/15/2025,$163.96,33146670,$165.84,$166.205,$162.3732
05/14/2025,$165.37,48755870,$159.96,$167.00,$159.61
05/13/2025,$159.53,42382130,$158.79,$160.57,$156.16
05/12/2025,$158.46,44138820,$157.485,$159.10,$156.25
05/09/2025,$152.75,32435280,$154.17,$155.05,$152.20
05/08/2025,$154.28,57498690,$155.00,$155.93,$152.90
05/07/2025,$151.38,127747600,$164.08,$165.00,$147.84
05/06/2025,$163.23,21277210,$162.17,$164.80,$161.19
05/05/2025,$164.21,21341810,$163.00,$165.39,$162.72
05/02/2025,$164.03,25715010,$163.405,$164.97,$161.87
05/01/2025,$161.30,30203250,$160.45,$161.95,$158.91
04/30/2025,$158.80,34981060,$157.975,$159.27,$155.40
04/29/2025,$160.16,26808960,$160.325,$160.74,$157.52
04/28/2025,$160.61,29745780,$162.425,$163.15,$158.60
04/25/2025,$161.96,56034000,$165.07,$166.10,$161.04
04/24/2025,$159.28,45893950,$156.15,$159.59,$155.79
04/23/2025,$155.35,31128830,$155.61,$157.525,$153.81
04/22/2025,$151.47,26971770,$148.89,$152.19,$148.54
04/21/2025,$147.67,26049120,$148.88,$148.945,$146.10
04/17/2025,$151.16,33046580,$154.29,$154.68,$148.50
