date,open,high,low,close,volume
2024-10-21,416.12,418.96,413.7501,418.78,14206120
2024-10-22,418.49,430.5793,418.04,427.51,25482200
2024-10-23,430.855,431.08,422.53,424.6,19654380
2024-10-24,425.325,425.9782,422.4,424.73,13581630
2024-10-25,426.76,432.52,426.565,428.15,16899060
2024-10-28,431.655,431.94,426.3,426.59,14882440
2024-10-29,428.0,433.17,425.8001,431.95,17644080
2024-10-30,437.435,438.5,432.1,432.53,29749150
2024-10-31,415.36,416.16,406.3,406.35,53970980
2024-11-01,409.01,415.5,407.5,410.37,24230440
2024-11-04,409.8,410.415,405.5713,408.46,19672290
2024-11-05,408.37,414.9,408.08,411.46,17626010
2024-11-06,412.42,420.45,410.52,420.18,26681840
2024-11-07,421.28,426.85,419.88,425.43,19901780
2024-11-08,425.32,426.5,421.78,422.54,16891410
2024-11-11,422.515,424.81,416.0,418.01,24503320
2024-11-12,418.25,424.44,417.2,423.03,19401200
2024-11-13,421.64,429.325,418.21,425.2,21502190
2024-11-14,425.0,428.17,420.0,426.89,30246880
2024-11-15,419.82,422.8,413.64,415.0,28247640
2024-11-18,414.87,418.4037,412.1,415.76,24742010
2024-11-19,413.11,417.94,411.55,417.79,18133530
2024-11-20,416.87,417.29,410.58,415.49,19191660
2024-11-21,419.5,419.78,410.2887,412.87,20780160
2024-11-22,411.365,417.4,411.06,417.0,24814630
2024-11-25,418.38,421.08,414.85,418.79,27691090
2024-11-26,419.585,429.0414,418.85,427.99,23458890
2024-11-27,425.105,427.2299,422.02,422.99,18332440
2024-11-29,420.09,424.8849,417.8,423.46,16271920
2024-12-02,421.57,433.0,421.31,430.98,20207220
2024-12-03,429.84,432.47,427.74,431.2,18301990
2024-12-04,433.03,439.67,432.63,437.42,26009430
2024-12-05,437.92,444.66,436.171,442.62,21697780
2024-12-06,442.3,446.1,441.7703,443.57,18821000
2024-12-09,442.6,448.33,440.5,446.02,19144390
2024-12-10,444.39,449.62,441.6,443.33,18469460
2024-12-11,444.05,450.35,444.05,448.99,19200210
2024-12-12,449.11,456.1648,449.11,449.56,20834780
2024-12-13,448.435,451.43,445.58,447.27,20177830
2024-12-16,447.27,452.18,445.28,451.59,23598830
2024-12-17,451.01,455.29,449.57,454.46,22733490
2024-12-18,451.32,452.65,437.02,437.39,24444550
2024-12-19,441.62,443.1834,436.32,437.03,22963680
2024-12-20,433.11,443.74,428.63,436.6,64263690
2024-12-23,436.74,437.65,432.83,435.25,19152520
2024-12-24,434.65,439.6,434.19,439.33,7164543
2024-12-26,439.08,440.94,436.63,438.11,8199927
2024-12-27,434.6,435.22,426.35,430.53,18117710
2024-12-30,426.06,427.55,421.9,424.83,13158700
2024-12-31,426.1,426.73,420.66,421.5,13246510
2025-01-02,425.53,426.07,414.85,418.58,16896470
2025-01-03,421.08,424.03,419.54,423.35,16662940
