Date,Close/Last,Volume,Open,High,Low
10/17/2025,$291.31,37653000,$303.75,$304.28,$287.50
10/16/2025,$313.00,32500860,$305.60,$322.54,$303.07
10/15/2025,$303.62,13698940,$304.90,$311.01,$298.92
10/14/2025,$299.00,17346190,$303.57,$304.42,$291.98
10/13/2025,$308.01,21703730,$298.70,$310.70,$297.74
10/10/2025,$292.96,28895340,$300.28,$307.72,$292.01
10/09/2025,$296.96,26479830,$291.55,$300.97,$287.26
10/08/2025,$288.63,18982120,$285.42,$291.53,$283.60
10/07/2025,$284.24,31723380,$293.22,$293.22,$271.00
10/06/2025,$291.59,14076800,$292.38,$296.68,$290.80
10/03/2025,$286.14,13688410,$289.60,$294.64,$284.00
10/02/2025,$288.78,16215460,$291.80,$294.97,$286.05
10/01/2025,$289.01,23378320,$278.80,$289.99,$277.88
09/30/2025,$281.24,23880810,$283.69,$284.00,$275.90
09/29/2025,$282.76,25778510,$284.60,$285.98,$279.61
09/26/2025,$283.46,25990690,$293.00,$294.00,$283.00
09/25/2025,$291.33,39274880,$295.27,$298.75,$288.55
09/24/2025,$308.46,33765280,$311.86,$312.47,$300.03
09/23/2025,$313.83,35280200,$324.00,$325.00,$310.05
09/22/2025,$328.15,44437550,$309.63,$329.50,$306.92
09/19/2025,$308.66,40776200,$299.00,$311.11,$297.32
09/18/2025,$296.62,24673120,$303.035,$303.82,$292.00
09/17/2025,$301.41,27707950,$307.69,$308.66,$295.03
09/16/2025,$306.65,51923270,$314.06,$319.97,$302.2724
09/15/2025,$302.14,40004000,$306.45,$307.03,$297.29
09/12/2025,$292.18,51781910,$305.79,$307.97,$291.75
09/11/2025,$307.86,69986030,$330.34,$331.00,$304.60
09/10/2025,$328.33,131618100,$319.19,$345.72,$312.09
09/09/2025,$241.51,41178700,$239.94,$243.49,$234.56
09/08/2025,$238.48,18803050,$239.89,$242.42,$235.31
09/05/2025,$232.80,15386100,$232.55,$234.62,$225.885
09/04/2025,$223.00,10303070,$222.00,$223.57,$219.5601
09/03/2025,$223.45,8900813,$225.90,$225.90,$221.75
09/02/2025,$225.30,10461900,$222.00,$225.45,$218.79
08/29/2025,$226.13,16618640,$237.61,$238.22,$223.11
08/28/2025,$240.32,8691548,$235.54,$241.95,$235.12
08/27/2025,$235.81,5637590,$234.995,$236.53,$232.68
08/26/2025,$234.21,11805200,$235.00,$236.905,$232.71
08/25/2025,$235.41,6308625,$237.35,$239.03,$235.27
08/22/2025,$236.37,9343637,$234.06,$238.50,$231.46
08/21/2025,$233.16,7403128,$233.045,$235.9199,$232.43
08/20/2025,$235.06,11256420,$232.18,$235.88,$228.2543
08/19/2025,$234.62,16819250,$249.25,$249.25,$232.23
08/18/2025,$249.07,6759921,$246.20,$249.16,$243.62
08/15/2025,$248.28,11553990,$246.92,$250.63,$242.925
08/14/2025,$244.96,10285560,$244.95,$248.92,$242.57
08/13/2025,$244.18,14182080,$257.17,$257.6699,$242.635
08/12/2025,$253.86,10001710,$252.58,$257.87,$251.08
08/11/2025,$252.68,9012112,$248.40,$254.69,$245.56
08/08/2025,$250.05,8313278,$250.03,$250.8934,$247.86
08/07/2025,$249.39,11954220,$257.71,$257.76,$246.52
08/06/2025,$256.43,9930222,$256.84,$256.84,$251.72
08/05/2025,$255.67,11197290,$255.41,$258.4872,$251.37
08/04/2025,$252.53,8614784,$245.90,$252.91,$245.90
08/01/2025,$244.42,12718220,$247.83,$248.41,$242.00
07/31/2025,$253.77,15548730,$255.765,$260.87,$253.318
07/30/2025,$250.60,8441378,$248.64,$251.05,$245.60
07/29/2025,$249.98,8415324,$248.70,$253.07,$246.59
07/28/2025,$247.71,6756775,$246.00,$247.78,$243.42
07/25/2025,$245.12,7149571,$242.34,$245.47,$241.43
07/24/2025,$242.83,8237851,$242.41,$244.08,$240.5601
07/23/2025,$241.90,7255797,$239.95,$243.42,$238.66
07/22/2025,$238.11,11380870,$241.98,$242.29,$235.4101
07/21/2025,$243.54,7348362,$245.31,$246.80,$243.24
07/18/2025,$245.45,9678072,$248.50,$249.68,$245.00
07/17/2025,$248.75,17631330,$243.34,$251.5999,$242.01
07/16/2025,$241.30,12597450,$235.50,$241.33,$233.19
07/15/2025,$234.96,10728800,$232.405,$235.60,$229.20
07/14/2025,$229.28,11336970,$229.45,$230.64,$225.12
07/11/2025,$230.56,10208180,$231.37,$234.00,$229.87
07/10/2025,$235.00,11486350,$239.94,$240.055,$233.50
07/09/2025,$235.81,10871630,$235.51,$236.51,$232.00
07/08/2025,$234.50,20401780,$237.13,$241.4385,$233.19
07/07/2025,$232.26,16584270,$235.11,$235.25,$229.50
07/03/2025,$237.32,18441380,$233.22,$237.9899,$231.20
07/02/2025,$229.98,22326900,$217.68,$231.90,$216.72
07/01/2025,$218.96,16962200,$219.30,$223.17,$216.3079
06/30/2025,$218.63,31844230,$226.50,$228.22,$218.3801
06/27/2025,$210.24,14127500,$213.69,$214.65,$209.96
06/26/2025,$212.82,10531110,$212.00,$214.42,$210.3587
06/25/2025,$210.72,11804600,$214.9399,$216.9299,$210.23
06/24/2025,$215.27,19030620,$209.99,$216.365,$208.55
06/23/2025,$207.04,13418390,$205.505,$207.27,$202.54
06/20/2025,$205.17,20879100,$213.35,$213.80,$204.64
06/18/2025,$210.87,15055390,$211.085,$214.7199,$209.5701
06/17/2025,$208.18,17819160,$210.66,$215.88,$207.4805
06/16/2025,$211.10,22665300,$213.20,$215.17,$209.9763
06/13/2025,$215.22,53707360,$201.58,$216.5999,$201.20
06/12/2025,$199.86,54610000,$189.96,$202.49,$188.88
06/11/2025,$176.38,18002910,$177.55,$179.55,$176.20
06/10/2025,$177.48,11056720,$177.71,$177.85,$174.28
06/09/2025,$177.15,9668911,$174.86,$178.72,$173.79
06/06/2025,$174.02,6833674,$174.00,$174.79,$172.6601
06/05/2025,$171.14,7710284,$169.00,$172.2599,$168.755
06/04/2025,$168.10,6375793,$169.71,$170.48,$167.57
06/03/2025,$169.14,7155281,$166.80,$169.33,$166.59
06/02/2025,$166.57,7165969,$164.165,$167.00,$162.60
05/30/2025,$165.53,17547860,$163.43,$165.75,$161.5501
05/29/2025,$162.90,6995831,$165.00,$165.32,$161.49
05/28/2025,$163.85,8090652,$161.865,$164.32,$161.28
05/27/2025,$161.91,6976813,$159.32,$162.40,$158.92
05/23/2025,$155.97,6527516,$154.99,$157.375,$154.2572
05/22/2025,$157.31,7603261,$156.975,$159.19,$156.82
05/21/2025,$157.18,6011038,$158.35,$160.90,$156.459
05/20/2025,$160.31,7576418,$158.63,$160.36,$157.53
05/19/2025,$159.64,10268920,$158.30,$161.9699,$157.8289
05/16/2025,$160.49,8515458,$160.00,$160.84,$158.52
05/15/2025,$159.40,10169220,$161.36,$161.74,$158.91
05/14/2025,$162.95,7499392,$162.36,$163.41,$161.0578
05/13/2025,$162.27,11955160,$158.22,$163.22,$157.57
05/12/2025,$157.22,7875461,$156.31,$157.43,$154.4165
05/09/2025,$150.34,4707130,$150.04,$151.7991,$149.79
05/08/2025,$150.30,6113612,$149.05,$151.81,$148.61
05/07/2025,$149.37,6051937,$147.50,$149.90,$147.24
05/06/2025,$147.70,5108595,$146.98,$148.941,$145.72
05/05/2025,$149.29,5187449,$149.435,$150.82,$148.5201
05/02/2025,$150.73,11345980,$148.33,$153.06,$148.33
05/01/2025,$145.49,11525750,$146.56,$148.64,$145.335
04/30/2025,$140.72,9443538,$138.48,$141.30,$135.565
04/29/2025,$140.79,4851458,$139.81,$141.16,$139.55
04/28/2025,$140.14,6985102,$139.65,$140.67,$138.08
04/25/2025,$138.49,5476378,$137.49,$139.00,$136.755
04/24/2025,$137.51,7305887,$132.51,$137.86,$132.00
04/23/2025,$131.40,9528873,$134.91,$135.87,$130.99
04/22/2025,$127.24,11233700,$124.50,$127.99,$123.39
04/21/2025,$122.82,12201230,$126.885,$127.195,$121.235
04/17/2025,$128.62,8925522,$130.90,$131.30,$128.44
04/16/2025,$129.76,8295176,$132.28,$132.5368,$127.85
04/15/2025,$133.94,8629959,$134.76,$136.482,$133.72
04/14/2025,$134.64,8217740,$136.80,$136.80,$132.87
04/11/2025,$132.35,10190180,$132.11,$133.00,$128.84
04/10/2025,$133.35,12401560,$136.65,$136.65,$129.255
04/09/2025,$139.69,17761990,$123.40,$140.59,$123.40
04/08/2025,$124.50,11950280,$132.54,$132.99,$121.695
04/07/2025,$127.16,19482650,$118.86,$134.11,$118.86
04/04/2025,$128.27,14986860,$132.91,$133.82,$126.95
04/03/2025,$137.23,14433770,$139.25,$141.40,$136.64
04/02/2025,$145.86,11594430,$139.86,$147.89,$139.86
04/01/2025,$141.94,9518457,$139.76,$143.25,$138.76
03/31/2025,$139.81,15509920,$138.64,$140.59,$136.76
03/28/2025,$140.87,13144490,$143.78,$145.65,$139.11
03/27/2025,$145.78,9148321,$145.85,$147.04,$144.92
03/26/2025,$147.80,13222520,$152.89,$153.03,$146.56
03/25/2025,$153.93,8521249,$154.51,$155.60,$153.05
03/24/2025,$154.87,7848332,$156.34,$156.605,$154.03
03/21/2025,$152.23,17620220,$151.65,$153.84,$150.11
03/20/2025,$152.72,7051615,$151.58,$154.49,$150.82
